pclass,survived,sex,age,sibsp,parch,fare,dest
1.0,1.0,female,29.0,0.0,0.0,211.3375,"St Louis, MO"
1.0,1.0,male,0.9167,1.0,2.0,151.55,"Montreal, PQ / Chesterville, ON"
1.0,0.0,female,2.0,1.0,2.0,151.55,"Montreal, PQ / Chesterville, ON"
1.0,0.0,male,30.0,1.0,2.0,151.55,"Montreal, PQ / Chesterville, ON"
1.0,0.0,female,25.0,1.0,2.0,151.55,"Montreal, PQ / Chesterville, ON"
1.0,1.0,male,48.0,0.0,0.0,26.55,"New York, NY"
1.0,1.0,female,63.0,1.0,0.0,77.9583,"Hudson, NY"
1.0,0.0,male,39.0,0.0,0.0,0.0,"Belfast, NI"
1.0,1.0,female,53.0,2.0,0.0,51.4792,"Bayside, Queens, NY"
1.0,0.0,male,71.0,0.0,0.0,49.5042,"Montevideo, Uruguay"
1.0,0.0,male,47.0,1.0,0.0,227.525,"New York, NY"
1.0,1.0,female,18.0,1.0,0.0,227.525,"New York, NY"
1.0,1.0,female,24.0,0.0,0.0,69.3,"Paris, France"
1.0,1.0,male,80.0,0.0,0.0,30.0,"Hessle, Yorks"
1.0,0.0,male,28.0,0.0,0.0,25.925,"New York, NY"
1.0,0.0,male,24.0,0.0,1.0,247.5208,"Montreal, PQ"
1.0,1.0,female,50.0,0.0,1.0,247.5208,"Montreal, PQ"
1.0,0.0,male,36.0,0.0,0.0,75.2417,"Winnipeg, MN"
1.0,1.0,male,37.0,1.0,1.0,52.5542,"New York, NY"
1.0,1.0,female,47.0,1.0,1.0,52.5542,"New York, NY"
1.0,1.0,male,26.0,0.0,0.0,30.0,"New York, NY"
1.0,0.0,male,25.0,0.0,0.0,26.0,"San Francisco, CA"
1.0,1.0,male,25.0,1.0,0.0,91.0792,"Dowagiac, MI"
1.0,1.0,female,19.0,1.0,0.0,91.0792,"Dowagiac, MI"
1.0,1.0,male,28.0,0.0,0.0,26.55,"Stockholm, Sweden / Washington, DC"
1.0,0.0,male,45.0,0.0,0.0,35.5,"Trenton, NJ"
1.0,1.0,male,40.0,0.0,0.0,31.0,"Glen Ridge, NJ"
1.0,1.0,female,30.0,0.0,0.0,164.8667,"Youngstown, OH"
1.0,1.0,female,58.0,0.0,0.0,26.55,"Birkdale, England Cleveland, Ohio"
1.0,0.0,male,42.0,0.0,0.0,26.55,"London / Winnipeg, MB"
1.0,1.0,female,45.0,0.0,0.0,262.375,"Cooperstown, NY"
1.0,1.0,female,22.0,0.0,1.0,55.0,"St Leonards-on-Sea, England Ohio"
1.0,1.0,male,28.0,0.0,0.0,26.55,"Los Angeles, CA"
1.0,0.0,male,41.0,0.0,0.0,30.5,"Pomeroy, WA"
1.0,0.0,male,48.0,0.0,0.0,50.4958,"Omaha, NE"
1.0,0.0,male,28.0,0.0,0.0,39.6,"Philadelphia, PA"
1.0,1.0,female,44.0,0.0,0.0,27.7208,"Denver, CO"
1.0,1.0,female,59.0,2.0,0.0,51.4792,"Belmont, MA"
1.0,1.0,female,60.0,0.0,0.0,76.2917,"Philadelphia, PA"
1.0,0.0,male,45.0,0.0,0.0,26.55,"Washington, DC"
1.0,1.0,male,42.0,0.0,0.0,26.2875,"New York, NY"
1.0,1.0,female,53.0,0.0,0.0,27.4458,"Washington, DC"
1.0,1.0,male,36.0,0.0,1.0,512.3292,"Austria-Hungary / Germantown, Philadelphia, PA"
1.0,1.0,female,58.0,0.0,1.0,512.3292,"Germantown, Philadelphia, PA"
1.0,0.0,male,33.0,0.0,0.0,5.0,"New York, NY"
1.0,0.0,male,28.0,0.0,0.0,47.1,"Montevideo, Uruguay"
1.0,0.0,male,17.0,0.0,0.0,47.1,"Montevideo, Uruguay"
1.0,1.0,male,11.0,1.0,2.0,120.0,"Bryn Mawr, PA"
1.0,1.0,female,14.0,1.0,2.0,120.0,"Bryn Mawr, PA"
1.0,1.0,male,36.0,1.0,2.0,120.0,"Bryn Mawr, PA"
1.0,1.0,female,36.0,1.0,2.0,120.0,"Bryn Mawr, PA"
1.0,0.0,male,49.0,0.0,0.0,26.0,"Ascot, Berkshire / Rochester, NY"
1.0,1.0,female,28.0,0.0,0.0,27.7208,"New York, NY"
1.0,0.0,male,36.0,1.0,0.0,78.85,"Little Onn Hall, Staffs"
1.0,1.0,female,76.0,1.0,0.0,78.85,"Little Onn Hall, Staffs"
1.0,0.0,male,46.0,1.0,0.0,61.175,"Amenia, ND"
1.0,1.0,female,47.0,1.0,0.0,61.175,"Amenia, ND"
1.0,1.0,male,27.0,1.0,0.0,53.1,"New York, NY / Ithaca, NY"
1.0,1.0,female,33.0,1.0,0.0,53.1,"New York, NY / Ithaca, NY"
1.0,1.0,female,30.0,0.0,0.0,86.5,"London, England"
1.0,1.0,male,45.0,0.0,0.0,29.7,"Paris, France"
1.0,1.0,female,28.0,0.0,1.0,55.0,"St Leonards-on-Sea, England Ohio"
1.0,0.0,male,28.0,0.0,0.0,0.0,"Liverpool, England / Belfast"
1.0,0.0,male,27.0,1.0,0.0,136.7792,"Los Angeles, CA"
1.0,1.0,female,26.0,1.0,0.0,136.7792,"Los Angeles, CA"
1.0,0.0,male,28.0,0.0,0.0,52.0,"Stoughton, MA"
1.0,0.0,male,47.0,0.0,0.0,25.5875,"Victoria, BC"
1.0,1.0,female,39.0,1.0,1.0,83.1583,"Lakewood, NJ"
1.0,0.0,male,37.0,1.0,1.0,83.1583,"Lakewood, NJ"
1.0,1.0,female,64.0,0.0,2.0,83.1583,"Lakewood, NJ"
1.0,1.0,female,55.0,2.0,0.0,25.7,"New York, NY"
1.0,0.0,male,28.0,0.0,0.0,26.55,"Roachdale, IN"
1.0,0.0,male,70.0,1.0,1.0,71.0,"Milwaukee, WI"
1.0,1.0,female,36.0,0.0,2.0,71.0,"Milwaukee, WI"
1.0,1.0,female,64.0,1.0,1.0,26.55,"Milwaukee, WI"
1.0,0.0,male,39.0,1.0,0.0,71.2833,"New York, NY"
1.0,1.0,female,38.0,1.0,0.0,71.2833,"New York, NY"
1.0,1.0,male,51.0,0.0,0.0,26.55,"Lima, Peru"
1.0,1.0,male,27.0,0.0,0.0,30.5,"Philadelphia, PA"
1.0,0.0,male,31.0,1.0,0.0,52.0,"Montreal, PQ"
1.0,1.0,female,27.0,1.0,2.0,52.0,"Montreal, PQ"
1.0,1.0,male,31.0,1.0,0.0,57.0,"Calgary, AB"
1.0,1.0,female,17.0,1.0,0.0,57.0,"Calgary, AB"
1.0,1.0,male,53.0,1.0,1.0,81.8583,"San Francisco, CA"
1.0,1.0,male,4.0,0.0,2.0,81.8583,"San Francisco, CA"
1.0,1.0,female,54.0,1.0,1.0,81.8583,"San Francisco, CA"
1.0,0.0,male,50.0,1.0,0.0,106.425,"Deephaven, MN / Cedar Rapids, IA"
1.0,1.0,female,27.0,1.0,1.0,247.5208,"Montreal, PQ"
1.0,1.0,female,48.0,1.0,0.0,106.425,"Deephaven, MN / Cedar Rapids, IA"
1.0,1.0,female,48.0,1.0,0.0,39.6,London / Paris
1.0,1.0,male,49.0,1.0,0.0,56.9292,London / Paris
1.0,0.0,male,39.0,0.0,0.0,29.7,"Philadelphia, PA"
1.0,1.0,female,23.0,0.0,1.0,83.1583,"Mt Airy, Philadelphia, PA"
1.0,1.0,female,38.0,0.0,0.0,227.525,"New York, NY"
1.0,1.0,female,54.0,1.0,0.0,78.2667,"Brookline, MA"
1.0,0.0,female,36.0,0.0,0.0,31.6792,"New York, NY"
1.0,1.0,female,28.0,0.0,0.0,31.6833,"New York, NY"
1.0,1.0,male,36.0,0.0,0.0,26.3875,"Brooklyn, NY"
1.0,0.0,male,30.0,0.0,0.0,27.75,"New York, NY"
1.0,1.0,female,24.0,3.0,2.0,263.0,"Winnipeg, MB"
1.0,1.0,female,28.0,3.0,2.0,263.0,"Winnipeg, MB"
1.0,1.0,female,23.0,3.0,2.0,263.0,"Winnipeg, MB"
1.0,0.0,male,19.0,3.0,2.0,263.0,"Winnipeg, MB"
1.0,0.0,male,64.0,1.0,4.0,263.0,"Winnipeg, MB"
1.0,1.0,female,60.0,1.0,4.0,263.0,"Winnipeg, MB"
1.0,0.0,male,28.0,0.0,0.0,26.55,"Westcliff-on-Sea, Essex"
1.0,1.0,male,50.0,2.0,0.0,133.65,"New York, NY"
1.0,1.0,male,43.0,1.0,0.0,27.7208,"New York, NY"
1.0,1.0,female,28.0,1.0,0.0,133.65,"New York, NY"
1.0,1.0,female,22.0,0.0,2.0,49.5,"Zurich, Switzerland"
1.0,1.0,male,60.0,1.0,1.0,79.2,"Zurich, Switzerland"
1.0,1.0,female,48.0,1.0,1.0,79.2,"Zurich, Switzerland"
1.0,0.0,male,37.0,1.0,0.0,53.1,"Scituate, MA"
1.0,1.0,female,35.0,1.0,0.0,53.1,"Scituate, MA"
1.0,0.0,male,47.0,0.0,0.0,38.5,"St Anne's-on-Sea, Lancashire"
1.0,1.0,female,22.0,0.0,1.0,59.4,"New York, NY"
1.0,1.0,female,45.0,0.0,1.0,59.4,"New York, NY"
1.0,1.0,male,49.0,1.0,0.0,89.1042,"Paris, France / New York, NY"
1.0,1.0,female,28.0,1.0,0.0,89.1042,"Paris, France / New York, NY"
1.0,0.0,male,71.0,0.0,0.0,34.6542,"New York, NY"
1.0,1.0,male,53.0,0.0,0.0,28.5,"Washington, DC"
1.0,1.0,female,19.0,0.0,0.0,30.0,"Greenwich, CT"
1.0,0.0,male,38.0,0.0,1.0,153.4625,"Winnipeg, MB"
1.0,1.0,female,58.0,0.0,1.0,153.4625,"Greenwich, CT"
1.0,1.0,male,23.0,0.0,1.0,63.3583,"New York, NY"
1.0,1.0,female,45.0,0.0,1.0,63.3583,"New York, NY"
1.0,0.0,male,46.0,0.0,0.0,79.2,"New York, NY"
1.0,1.0,male,25.0,1.0,0.0,55.4417,"Brooklyn, NY"
1.0,1.0,female,25.0,1.0,0.0,55.4417,"Brooklyn, NY"
1.0,1.0,male,48.0,1.0,0.0,76.7292,"New York, NY"
1.0,1.0,female,49.0,1.0,0.0,76.7292,"New York, NY"
1.0,0.0,male,45.0,1.0,0.0,83.475,"New York, NY"
1.0,1.0,female,35.0,1.0,0.0,83.475,"New York, NY"
1.0,1.0,male,28.0,0.0,0.0,30.0,"Kingston, Surrey"
1.0,1.0,female,24.0,0.0,0.0,83.1583,"New York, NY"
1.0,0.0,male,55.0,1.0,1.0,93.5,"Montreal, PQ"
1.0,1.0,female,52.0,1.0,1.0,93.5,"Montreal, PQ"
1.0,0.0,male,42.0,0.0,0.0,42.5,London / Middlesex
1.0,0.0,male,28.0,0.0,0.0,51.8625,"Brighton, MA"
1.0,0.0,male,55.0,0.0,0.0,50.0,London / Birmingham
1.0,1.0,female,16.0,0.0,1.0,57.9792,"Chicago, IL"
1.0,1.0,female,44.0,0.0,1.0,57.9792,"Chicago, IL"
1.0,1.0,female,51.0,1.0,0.0,77.9583,"Hudson, NY"
1.0,0.0,male,42.0,1.0,0.0,52.0,"New York, NY"
1.0,1.0,female,35.0,1.0,0.0,52.0,"New York, NY"
1.0,1.0,male,35.0,0.0,0.0,26.55,"Indianapolis, IN"
1.0,1.0,male,38.0,1.0,0.0,90.0,"New York, NY /  Stamford CT"
1.0,0.0,male,28.0,0.0,0.0,30.6958,"New York, NY"
1.0,1.0,female,35.0,1.0,0.0,90.0,"New York, NY /  Stamford CT"
1.0,0.0,female,50.0,0.0,0.0,28.7125,"Paris, France New York, NY"
1.0,1.0,male,49.0,0.0,0.0,0.0,Liverpool
1.0,0.0,male,46.0,0.0,0.0,26.0,"Bennington, VT"
1.0,0.0,male,50.0,0.0,0.0,26.0,London
1.0,0.0,male,58.0,0.0,0.0,29.7,"Buffalo, NY"
1.0,0.0,male,41.0,1.0,0.0,51.8625,"Southington / Noank, CT"
1.0,1.0,female,28.0,1.0,0.0,51.8625,"Southington / Noank, CT"
1.0,1.0,male,42.0,1.0,0.0,52.5542,"Boston, MA"
1.0,1.0,female,45.0,1.0,0.0,52.5542,"Boston, MA"
1.0,0.0,male,28.0,0.0,0.0,26.55,"Portland, OR"
1.0,1.0,female,49.0,0.0,0.0,25.9292,"New York, NY"
1.0,0.0,male,28.0,0.0,0.0,27.7208,"Chicago, IL"
1.0,0.0,male,42.0,0.0,0.0,26.55,"Stockholm, Sweden"
1.0,1.0,female,55.0,0.0,0.0,27.7208,"Stockholm, Sweden"
1.0,1.0,female,16.0,0.0,1.0,39.4,"Paris, France"
1.0,1.0,female,51.0,0.0,1.0,39.4,"Paris, France"
1.0,0.0,male,29.0,0.0,0.0,30.0,"Springfield, MA"
1.0,1.0,female,21.0,0.0,0.0,77.9583,"Hudson, NY"
1.0,0.0,male,30.0,0.0,0.0,45.5,"London / New York, NY"
1.0,1.0,female,15.0,0.0,1.0,211.3375,"St Louis, MO"
1.0,0.0,male,30.0,0.0,0.0,26.0,"Brockton, MA"
1.0,1.0,male,28.0,0.0,0.0,29.7,"Paris, France"
1.0,0.0,male,19.0,1.0,0.0,53.1,"New York, NY"
1.0,1.0,female,18.0,1.0,0.0,53.1,"New York, NY"
1.0,1.0,female,24.0,0.0,0.0,49.5042,"Belgium  Montreal, PQ"
1.0,0.0,male,46.0,0.0,0.0,75.2417,"Vancouver, BC"
1.0,0.0,male,54.0,0.0,0.0,51.8625,"Dorchester, MA"
1.0,1.0,male,36.0,0.0,0.0,26.2875,"Philadelphia, PA"
1.0,0.0,male,28.0,1.0,0.0,82.1708,"New York, NY"
1.0,1.0,female,28.0,1.0,0.0,82.1708,"New York, NY"
1.0,0.0,male,65.0,0.0,0.0,26.55,"East Bridgewater, MA"
1.0,0.0,male,44.0,2.0,0.0,90.0,"Fond du Lac, WI"
1.0,1.0,female,33.0,1.0,0.0,90.0,"Green Bay, WI"
1.0,1.0,female,37.0,1.0,0.0,90.0,"Fond du Lac, WI"
1.0,1.0,male,30.0,1.0,0.0,57.75,"New York, NY"
1.0,0.0,male,55.0,0.0,0.0,30.5,"Montreal, PQ"
1.0,0.0,male,47.0,0.0,0.0,42.4,"Washington, DC"
1.0,0.0,male,37.0,0.0,1.0,29.7,"Brooklyn, NY"
1.0,1.0,female,31.0,1.0,0.0,113.275,"Lexington, MA"
1.0,1.0,female,23.0,1.0,0.0,113.275,"Lexington, MA"
1.0,0.0,male,58.0,0.0,2.0,113.275,"Lexington, MA"
1.0,1.0,female,19.0,0.0,2.0,26.2833,"New York, NY"
1.0,0.0,male,64.0,0.0,0.0,26.0,"Isle of Wight, England"
1.0,1.0,male,28.0,0.0,0.0,25.7417,"Paris, France"
1.0,1.0,female,22.0,0.0,1.0,61.9792,"Providence, RI"
1.0,0.0,male,65.0,0.0,1.0,61.9792,"Providence, RI"
1.0,0.0,male,28.5,0.0,0.0,27.7208,"?Havana, Cuba"
1.0,0.0,male,28.0,0.0,0.0,0.0,Belfast
1.0,0.0,male,45.5,0.0,0.0,28.5,"Surbiton Hill, Surrey"
1.0,0.0,male,23.0,0.0,0.0,93.5,"Montreal, PQ"
1.0,0.0,male,29.0,1.0,0.0,66.6,"Isleworth, England"
1.0,1.0,female,22.0,1.0,0.0,66.6,"Isleworth, England"
1.0,0.0,male,18.0,1.0,0.0,108.9,"Madrid, Spain"
1.0,1.0,female,17.0,1.0,0.0,108.9,"Madrid, Spain"
1.0,1.0,male,52.0,0.0,0.0,30.5,"Toronto, ON"
1.0,0.0,male,47.0,0.0,0.0,52.0,"Worcester, MA"
1.0,1.0,female,56.0,0.0,1.0,83.1583,"Mt Airy, Philadelphia, PA"
1.0,0.0,male,38.0,0.0,0.0,0.0,"Rotterdam, Netherlands"
1.0,1.0,male,28.0,0.0,0.0,39.6,"Paris /  New York, NY"
1.0,1.0,female,43.0,0.0,1.0,211.3375,"St Louis, MO"
1.0,0.0,male,31.0,0.0,0.0,50.4958,"Trenton, NJ"
1.0,1.0,male,45.0,0.0,0.0,26.55,"New York, NY"
1.0,0.0,male,28.0,0.0,0.0,50.0,"Seattle, WA"
1.0,1.0,female,33.0,0.0,0.0,27.7208,"Paris, France"
1.0,0.0,male,46.0,0.0,0.0,79.2,"New York, NY"
1.0,0.0,male,36.0,0.0,0.0,40.125,"Winnipeg, MB"
1.0,1.0,female,33.0,0.0,0.0,86.5,"London  Vancouver, BC"
1.0,0.0,male,55.0,1.0,0.0,59.4,"New York, NY"
1.0,1.0,female,54.0,1.0,0.0,59.4,"New York, NY"
1.0,0.0,male,33.0,0.0,0.0,26.55,London
1.0,1.0,male,13.0,2.0,2.0,262.375,"Haverford, PA / Cooperstown, NY"
1.0,1.0,female,18.0,2.0,2.0,262.375,"Haverford, PA / Cooperstown, NY"
1.0,1.0,female,21.0,2.0,2.0,262.375,"Haverford, PA / Cooperstown, NY"
1.0,0.0,male,61.0,1.0,3.0,262.375,"Haverford, PA / Cooperstown, NY"
1.0,1.0,female,48.0,1.0,3.0,262.375,"Haverford, PA / Cooperstown, NY"
1.0,1.0,male,28.0,0.0,0.0,30.5,"Manchester, England"
1.0,1.0,male,28.0,0.0,0.0,26.0,"New York, NY"
1.0,1.0,female,35.0,1.0,0.0,57.75,"New York, NY"
1.0,1.0,male,34.0,0.0,0.0,26.55,"New York, NY"
1.0,1.0,female,40.0,0.0,0.0,153.4625,"New York, NY / Greenwich CT"
1.0,1.0,male,35.0,0.0,0.0,26.2875,"St Louis, MO"
1.0,0.0,male,50.0,1.0,0.0,55.9,"Duluth, MN"
1.0,1.0,female,39.0,1.0,0.0,55.9,"Duluth, MN"
1.0,1.0,male,56.0,0.0,0.0,35.5,"Basel, Switzerland"
1.0,1.0,male,28.0,0.0,0.0,35.5,"New Britain, CT"
1.0,0.0,male,56.0,0.0,0.0,26.55,"New York, NY"
1.0,0.0,male,56.0,0.0,0.0,30.6958,"St James, Long Island, NY"
1.0,0.0,male,24.0,1.0,0.0,60.0,"Huntington, WV"
1.0,0.0,male,28.0,0.0,0.0,26.0,"Streatham, Surrey"
1.0,1.0,female,18.0,1.0,0.0,60.0,"Huntington, WV"
1.0,1.0,male,24.0,1.0,0.0,82.2667,"Minneapolis, MN"
1.0,1.0,female,23.0,1.0,0.0,82.2667,"Minneapolis, MN"
1.0,1.0,male,6.0,0.0,2.0,134.5,"Tuxedo Park, NY"
1.0,1.0,male,45.0,1.0,1.0,134.5,"Tuxedo Park, NY"
1.0,1.0,female,40.0,1.0,1.0,134.5,"Tuxedo Park, NY"
1.0,0.0,male,57.0,1.0,0.0,146.5208,"Paris, France"
1.0,1.0,female,28.0,1.0,0.0,146.5208,"Paris, France"
1.0,1.0,male,32.0,0.0,0.0,30.5,"Basel, Switzerland"
1.0,0.0,male,62.0,0.0,0.0,26.55,"Wimbledon Park, London / Hayling Island, Hants"
1.0,1.0,male,54.0,1.0,0.0,55.4417,"Newark, NJ"
1.0,1.0,female,43.0,1.0,0.0,55.4417,"Newark, NJ"
1.0,1.0,female,52.0,1.0,0.0,78.2667,"Haverford, PA"
1.0,0.0,male,28.0,0.0,0.0,27.7208,"Gallipolis, Ohio / ? Paris / New York"
1.0,1.0,female,62.0,0.0,0.0,80.0,"Cincinatti, OH"
1.0,0.0,male,67.0,1.0,0.0,221.7792,"New York, NY"
1.0,0.0,female,63.0,1.0,0.0,221.7792,"New York, NY"
1.0,0.0,male,61.0,0.0,0.0,32.3208,"Haddenfield, NJ"
1.0,1.0,female,48.0,0.0,0.0,25.9292,"Brooklyn, NY"
1.0,1.0,female,18.0,0.0,2.0,79.65,"New York, NY"
1.0,0.0,male,52.0,1.0,1.0,79.65,"New York, NY"
1.0,1.0,female,39.0,1.0,1.0,79.65,"New York, NY"
